Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Currency,EURO Price,Country,City
9500,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,184,EUR,9500,Italy, Lombardia - Trentino Alto Adige 
9500,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,162,EUR,9500,Germany, Brandenburg 
11000,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,256,CHF,11110,Switzerland, Luganersee 
11000,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7,1.9,Wood,230,CHF,11110,Switzerland, Beringen
11000,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6,1.6,GRP,182,CHF,11110,Switzerland, Rhein
10115,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,115,EUR,10115,Germany, Wesel
10900,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,159,CHF,11009,Switzerland, Zugersee 
10000,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,585,EUR,10000,Italy, Toscana 
10000,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12,3,Steel,182,EUR,10000,Italy, Lombardia - Trentino Alto Adige 
10000,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,900,EUR,10000,Germany, Brandenburg 
10000,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,783,EUR,10000,Italy, Lombardia - Trentino Alto Adige 
10000,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,175,EUR,10000,France," CAP D'AGDE, CAP D'AGDE"
10000,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,207,EUR,10000,France," CAP D'AGDE, CAP D'AGDE"
11000,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,284,EUR,11000,Italy, Friuli-Venezia Giulia
11000,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,125,EUR,11000,Germany, INFO DD-YACHTING
11000,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,229,EUR,11000,Italy, Venezia
11000,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,226,EUR,11000,France," GRANVILLE, GRANVILLE"
11000,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,87,EUR,11000,France," Dienville, Dienville"
11000,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,173,EUR,11000,Italy, Lake Garda 
11000,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6,2.4,GRP,422,EUR,11000,Spain, Baleares 
11000,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,243,EUR,11000,Germany, Rhein 
11000,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,254,EUR,11000,Netherlands, In verkoophaven
10999,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,150,EUR,10999,Germany, Kieler Bucht mit Fehmarn 
10999,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,255,EUR,10999,Germany, Nordrhein-Westfalen 
10999,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,179,EUR,10999,Germany, Nordrhein-Westfalen 
10990,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,169,EUR,10990,Germany, Verkaufshafen Brandenburg-Plaue
10990,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,136,EUR,10990,Germany, Ostsee 
12000,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,141,EUR,12000,France," Mandelieu, France"
12000,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,442,EUR,12000,Serbia, Belgrade
12000,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,327,EUR,12000,Germany, Berlin 
12000,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,188,EUR,12000,Italy, Veneto 
12000,"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,1101,EUR,12000,Germany, Mecklenburg-Vorpommern 
11990,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5,4.96,PVC,141,EUR,11990,France," Chalon-sur-SaÃ´ne, France"
12950,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,284,CHF,13079.5,Switzerland, Kesswil 
12900,Runabout,Safter Marine power boats,new boat from stock,2020,5,1.9,GRP,273,CHF,13029,Switzerland, Zugersee 
12900,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,365,CHF,13029,Switzerland, Zugersee 
12770,Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,180,EUR,12770,Germany, Lake Constance 
12500,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5,2,GRP,147,EUR,12500,Italy, Friuli Venezia Giulia 
12500,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,14.7,3.65,Steel,235,EUR,12500,Germany, Baden-WÃ¼rttemberg 
12500,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,5.6,2.2,GRP,452,EUR,12500,Italy, Gardasee
12500,Cabin Boat,Compromis power boats,Used boat,1983,7.2,2.85,GRP,165,EUR,12500,Netherlands, In verkoophaven
14800,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,7.05,2.5,GRP,436,CHF,14948,Switzerland, Finstersee
13690,Deck Boat,Jeanneau power boats,new boat from stock,2014,5,2,PVC,35,EUR,13690,Slovakia," Bratislava, Slovaquie"
14700,Bowrider,Yamarin power boats,new boat from stock,2018,4.57,1.93,GRP,212,CHF,14847,Switzerland, VierwaldstÃ¤ttersee 
13500,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,5.95,2.48,GRP,121,EUR,13500,Italy, Toscana 
13500,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,6.16,2.48,PVC,110,EUR,13500,France," PLOUGERNEAU, France"
13500,Motor Yacht,Bayliner power boats,Used boat,1995,7.75,2.57,GRP,83,EUR,13500,Netherlands, In verkoophaven
13500,Sport Boat,Lema power boats,"Used boat,Diesel",1996,7,2,PVC,264,EUR,13500,Spain, Torrevieja
13500,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,5.45,2.15,GRP,109,EUR,13500,Italy, Lombardia - Trentino Alto Adige 
13500,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,8.8,2.79,GRP,132,EUR,13500,Croatia , INFO DD-YACHTING
13500,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2014,4.5,2,PVC,81,EUR,13500,France," ANDERNOS, ANDERNOS"
